2016/11/25,111.7900,11475920.0000,111.1300,111.8700,110.9500,1
2016/11/28,111.5700,27054320.0000,111.4300,112.4650,111.3900,0
2016/11/29,111.4600,28507780.0000,110.7800,112.0300,110.0700,0
2016/11/30,110.5200,36151450.0000,111.6000,112.2000,110.2700,0
2016/12/01,109.4900,37034520.0000,110.3650,110.9400,109.0300,0
2016/12/02,109.9000,26481320.0000,109.1700,110.0900,108.8500,1
2016/12/05,109.1100,34113880.0000,110.0000,110.0300,108.2500,0
2016/12/06,109.9500,26160560.0000,109.5000,110.3600,109.1900,1
2016/12/07,111.0300,29976030.0000,109.2600,111.1900,109.1600,1
2016/12/08,112.1200,27049830.0000,110.8600,112.4300,110.6000,1
2016/12/09,113.9500,34324350.0000,112.3100,114.7000,112.3100,1
2016/12/12,113.3000,26176690.0000,113.2900,115.0000,112.4900,0
2016/12/13,115.1900,43293350.0000,113.8400,115.9200,113.7500,1
2016/12/14,115.1900,33962370.0000,115.0400,116.2000,114.9800,0
2016/12/15,115.8200,46286150.0000,115.3800,116.7300,115.2300,1
2016/12/16,115.9700,44284660.0000,116.4700,116.5000,115.6450,1
2016/12/19,116.6400,27756760.0000,115.8000,117.3800,115.7500,1
2016/12/20,116.9500,21337310.0000,116.7400,117.5000,116.6800,1
2016/12/21,117.0600,23724430.0000,116.8000,117.4000,116.7800,1
2016/12/22,116.2900,26043820.0000,116.3500,116.5100,115.6400,0
2016/12/23,116.5200,14244050.0000,115.5900,116.5200,115.5900,1
2016/12/27,117.2600,18131970.0000,116.5200,117.8000,116.4900,1
2016/12/28,116.7600,20686510.0000,117.5200,118.0166,116.2000,0
2016/12/29,116.7300,14979680.0000,116.4500,117.1095,116.4000,0
2016/12/30,115.8200,30555900.0000,116.6500,117.2000,115.4300,0
2017/01/03,116.1500,28769220.0000,115.8000,116.3300,114.7600,1
2017/01/04,116.0200,21081620.0000,115.8500,116.5100,115.7500,0
2017/01/05,116.6100,22115100.0000,115.9200,116.8642,115.8100,1
2017/01/06,117.9100,31714820.0000,116.7800,118.1600,116.4700,1
2017/01/09,118.9900,33420290.0000,117.9500,119.4300,117.9400,1
2017/01/10,119.1100,24432660.0000,118.7700,119.3800,118.3000,1
2017/01/11,119.7500,27453130.0000,118.7400,119.9300,118.6000,1
2017/01/12,119.2500,27057550.0000,118.8950,119.3000,118.2100,0
2017/01/13,119.0400,26083030.0000,119.1100,119.6200,118.8100,0
2017/01/17,120.0000,34412090.0000,118.3400,120.2400,118.2200,1
2017/01/18,119.9900,23687350.0000,120.0000,120.5000,119.7100,0
2017/01/19,119.7800,25554290.0000,119.4000,120.0900,119.3700,0
2017/01/20,120.0000,29922650.0000,120.4500,120.4500,119.7346,1
2017/01/23,120.0800,21982000.0000,120.0000,120.8100,119.7700,1
2017/01/24,119.9700,23191150.0000,119.5500,120.1000,119.5000,0
2017/01/25,121.8800,32417410.0000,120.4200,122.1000,120.2800,1
2017/01/26,121.9400,26320740.0000,121.6700,122.4400,121.6000,1
2017/01/27,121.9500,20495340.0000,122.1400,122.3500,121.6000,1
2017/01/30,121.6300,30327110.0000,120.9300,121.6300,120.6600,0
2017/01/31,121.3500,47767760.0000,121.1500,121.3900,120.6200,0
2017/02/01,128.7500,111837300.0000,127.0300,130.4900,127.0100,1
2017/02/02,128.5300,33671250.0000,127.9750,129.3900,127.7800,0
2017/02/03,129.0800,24460160.0000,128.3100,129.1900,128.1600,1
2017/02/06,130.2900,26784530.0000,129.1300,130.5000,128.9000,1
2017/02/07,131.5300,38158410.0000,130.5400,132.0900,130.4500,1
2017/02/08,132.0400,22941650.0000,131.3500,132.2200,131.2200,1
2017/02/09,132.4200,28321440.0000,131.6500,132.4450,131.1200,1
2017/02/10,132.1200,20046250.0000,132.4600,132.9400,132.0500,0
2017/02/13,133.2900,22989980.0000,133.0800,133.8200,132.7500,1
2017/02/14,135.0200,33054500.0000,133.4700,135.0900,133.2500,1
2017/02/15,135.5100,35578640.0000,135.5200,136.2700,134.6200,1
2017/02/16,135.3450,22539860.0000,135.6700,135.9000,134.8398,0
2017/02/17,135.7200,22163280.0000,135.1000,135.8300,135.1000,1
2017/02/21,136.7000,24487200.0000,136.2300,136.7500,135.9800,1
2017/02/22,137.1100,20769030.0000,136.4300,137.1200,136.1100,1
2017/02/23,136.5300,20762360.0000,137.3800,137.4800,136.3000,0
2017/02/24,136.6600,21754600.0000,135.9100,136.6600,135.2800,1
